x,x_vel,yaw,yaw_vel
-1.4397217406089322,-4.58123228643703e-16,-0.007077329456627901,0.005220890644296364
-1.4397217406089322,-4.581243523777758e-16,-0.007140747831491478,0.004578958008249031
-1.4397217406089322,-4.58123689209951e-16,-0.006967911154464688,0.004911807010654504
-1.4397217406089322,-4.581287443139688e-16,-0.006739614786161723,0.0050375380756148246
-1.4397217406089322,-4.581227426409226e-16,-0.006633298350396085,0.00541325424548822
-1.4397217406089322,-4.581279810658928e-16,-0.006712147408088954,0.004529734967579492
-1.4397217406089322,-4.581225080024611e-16,-0.006543210108111708,0.003741373893081003
-1.4397217406089322,-4.581225080024611e-16,-0.006593900406158136,0.004020671496611253
-1.4397217406089322,-4.58122279616111e-16,-0.006134072095127841,0.004031276278455649
-1.4397217406089322,-4.581265394137818e-16,-0.005968343828085771,0.004016409404111412
